"FIPS","Year","Group","Value","MOE"
"09","2006-2010","Total Children",793333,1369
"09","2006-2010","Total Living with One Parent",234926,3492.84883726737
"09","2006-2010","Total Living with One Parent, Not in Work Force",38003,1940.04793755206
"09","2006-2010","Total Living with Two Parents",558407,3940.10685134299
"09","2006-2010","Total Living with Two Parents, Neither in Work Force",6638,781.434578195769
"0900104720","2006-2010","Total Children",4304,342
"0900104720","2006-2010","Total Living with One Parent",833,244.609893503922
"0900104720","2006-2010","Total Living with One Parent, Not in Work Force",61,230.885252885497
"0900104720","2006-2010","Total Living with Two Parents",3471,375.981382517805
"0900104720","2006-2010","Total Living with Two Parents, Neither in Work Force",38,35.6089876295297
"0900108070","2006-2010","Total Children",34516,1113
"0900108070","2006-2010","Total Living with One Parent",18800,1030.84916452408
"0900108070","2006-2010","Total Living with One Parent, Not in Work Force",3630,605.869622938797
"0900108070","2006-2010","Total Living with Two Parents",15716,998.462818536574
"0900108070","2006-2010","Total Living with Two Parents, Neither in Work Force",420,170.601875722396
"0900108980","2006-2010","Total Children",3962,214
"0900108980","2006-2010","Total Living with One Parent",563,151.396829557293
"0900108980","2006-2010","Total Living with One Parent, Not in Work Force",53,181.281548978378
"0900108980","2006-2010","Total Living with Two Parents",3399,363.209306048179
"0900108980","2006-2010","Total Living with Two Parents, Neither in Work Force",0,173.948268171891
"0900118500","2006-2010","Total Children",16052,744
"0900118500","2006-2010","Total Living with One Parent",4440,665.414908158812
"0900118500","2006-2010","Total Living with One Parent, Not in Work Force",533,248.245845886694
"0900118500","2006-2010","Total Living with Two Parents",11612,871.622051120783
"0900118500","2006-2010","Total Living with Two Parents, Neither in Work Force",152,96.260064408871
"0900118850","2006-2010","Total Children",7415,202
"0900118850","2006-2010","Total Living with One Parent",792,238.673417036753
"0900118850","2006-2010","Total Living with One Parent, Not in Work Force",409,279.855319763624
"0900118850","2006-2010","Total Living with Two Parents",6623,465.618942913623
"0900118850","2006-2010","Total Living with Two Parents, Neither in Work Force",43,140.064270961584
"0900123890","2006-2010","Total Children",2187,104
"0900123890","2006-2010","Total Living with One Parent",190,150.764717357875
"0900123890","2006-2010","Total Living with One Parent, Not in Work Force",78,246
"0900123890","2006-2010","Total Living with Two Parents",1997,191.010470917173
"0900123890","2006-2010","Total Living with Two Parents, Neither in Work Force",11,124.169239346949
"0900126620","2006-2010","Total Children",14365,460
"0900126620","2006-2010","Total Living with One Parent",1642,323.037149566424
"0900126620","2006-2010","Total Living with One Parent, Not in Work Force",280,191.702895126808
"0900126620","2006-2010","Total Living with Two Parents",12723,596.976548953139
"0900126620","2006-2010","Total Living with Two Parents, Neither in Work Force",91,94.6414285606467
"0900133620","2006-2010","Total Children",16392,507
"0900133620","2006-2010","Total Living with One Parent",2461,459.847800908083
